weight:1.200000---avg:0.128984 mseX:0.023700 mseY:0.033232 mseS:0.028466
weight:1.200000---avg:0.128162 mseX:0.023453 mseY:0.033990 mseS:0.028722
weight:1.200000---avg:0.129976 mseX:0.023444 mseY:0.035069 mseS:0.029257
weight:1.200000---avg:0.129144 mseX:0.023850 mseY:0.034400 mseS:0.029125
weight:1.200000---avg:0.128608 mseX:0.024000 mseY:0.033208 mseS:0.028604
weight:1.200000---avg:0.126003 mseX:0.022763 mseY:0.032797 mseS:0.027780
weight:1.200000---avg:0.131133 mseX:0.023849 mseY:0.035670 mseS:0.029760
weight:1.200000---avg:0.130786 mseX:0.023977 mseY:0.035098 mseS:0.029537
weight:1.200000---avg:0.132521 mseX:0.024456 mseY:0.036297 mseS:0.030377
weight:1.200000---avg:0.127274 mseX:0.022898 mseY:0.033938 mseS:0.028418
weight:1.200000---avg:0.132019 mseX:0.024426 mseY:0.035692 mseS:0.030059
weight:1.200000---avg:0.126537 mseX:0.022683 mseY:0.033548 mseS:0.028115
weight:1.200000---avg:0.126396 mseX:0.022758 mseY:0.033851 mseS:0.028304
weight:1.200000---avg:0.129072 mseX:0.022490 mseY:0.036658 mseS:0.029574
weight:1.200000---avg:0.130965 mseX:0.023677 mseY:0.038224 mseS:0.030950
weight:1.200000---avg:0.129884 mseX:0.023873 mseY:0.035440 mseS:0.029657
weight:1.200000---avg:0.131678 mseX:0.024388 mseY:0.034925 mseS:0.029656
weight:1.200000---avg:0.133320 mseX:0.024318 mseY:0.039128 mseS:0.031723
weight:1.200000---avg:0.130526 mseX:0.023956 mseY:0.035946 mseS:0.029951
weight:1.200000---avg:0.129432 mseX:0.023666 mseY:0.035524 mseS:0.029595
weight:1.200000---avg:0.135137 mseX:0.024667 mseY:0.039236 mseS:0.031951
weight:1.200000---avg:0.127561 mseX:0.022302 mseY:0.034593 mseS:0.028447
weight:1.200000---avg:0.131673 mseX:0.023308 mseY:0.037719 mseS:0.030513
weight:1.200000---avg:0.126474 mseX:0.023271 mseY:0.033507 mseS:0.028389
weight:1.200000---avg:0.120616 mseX:0.021426 mseY:0.030104 mseS:0.025765
weight:1.200000---avg:0.120887 mseX:0.021653 mseY:0.029857 mseS:0.025755
weight:1.200000---avg:0.119965 mseX:0.020729 mseY:0.028680 mseS:0.024705
weight:1.200000---avg:0.121985 mseX:0.021343 mseY:0.031183 mseS:0.026263
weight:1.200000---avg:0.120303 mseX:0.020743 mseY:0.028592 mseS:0.024667
weight:1.200000---avg:0.122672 mseX:0.021607 mseY:0.029487 mseS:0.025547
